HEADER
VTF File Version,1.0
VTF File Type,0
PID,1687471
Generated on,2023-11-24 15:30:12
Resolution,ms
Min Resolution,ns
Trace Version,1.0
XRT Version,2023.1

STRUCTURE
Group_Start,Native API Host Trace
Dynamic_Row,1,Native XRT API Calls,API Events
Group_Start,Host to Device Data Transfers
Dynamic_Row,2,Reads,Read Transfers
Dynamic_Row,3,Writes,Write Transfers
Group_End,Host to Device Data Transfers
Group_End,Native API Host Trace

MAPPING
41,0:0:0
77,0:48:7
78,140165888583800:140166867610768:0
73,140165888583800:140166867610768:93844568857472
70,140166014408824:140166867610768:0
52,140166047979640:140166867610768:7
62,140166056674560:15631098026746296320:0
69,140166056689936:15631098026746296320:0
79,140166056721360:15631098026746296320:0
72,140166056762080:15631098026746296320:0
74,140166056808736:15631098026746296320:0
63,140166325168688:15631098026746296320:0
67,140166526204928:140166526204928:140166526205432
75,140166526249504:15631098026746296320:0
80,140166526520768:15631098026746296320:0
76,140166527624960:15631098026746296320:0
61,140166870248864:48:0
64,140166870248864:48:93844568713984
65,15780882756051086703:140166526521264:0
71,17448326912:48:0
48,1:140166047979856:140166047980000
39,1:140166645492048:140166645492192
57,1:15631098026746296320:0
44,1:1:1
33,HBM[0]
53,HBM[12]
55,HBM[13]
59,HBM[14]
60,HBM[15]
66,HBM[16]
68,HBM[17]
46,HBM[20]
50,HBM[22]
42,HBM[2]
45,HBM[3]
49,HBM[5]
56,HBM[6]
58,HBM[8]
43,READ
51,Unknown
35,WRITE
21,clCreateBuffer
11,clCreateCommandQueue
7,clCreateContext
18,clCreateKernel
9,clCreateProgramWithBinary
26,clEnqueueMigrateMemObjects
28,clEnqueueTask
4,clGetDeviceIDs
1,clGetExtensionFunctionAddress
2,clGetExtensionFunctionAddressForPlatform
3,clGetPlatformInfo
15,clReleaseCommandQueue
16,clReleaseContext
6,clReleaseDevice
30,clReleaseEvent
31,clReleaseKernel
24,clReleaseMemObject
17,clReleaseProgram
14,clRetainCommandQueue
13,clRetainContext
5,clRetainDevice
27,clRetainEvent
23,clRetainMemObject
12,clRetainProgram
25,clSetKernelArg
32,clWaitForEvents
37,proc_flow.link
38,vadd
54,vinc
47,vmul
36,xilinx_u50_gen3x16_xdma_base_5
29,xrt::bo::address
22,xrt::bo::bo
34,xrt::bo::sync
8,xrt::device::device
10,xrt::device::load_xclbin
81,xrt::device::reset
19,xrt::kernel::kernel
20,xrt::run::run
40,xrt::run::start

EVENTS
36,0,376.028057,1,API_CALL,8
37,36,397.341167,1,API_CALL,8
42,0,445.918475,1,API_CALL,10
43,42,530.824538,1,API_CALL,10
84,0,550.832494,1,API_CALL,8
85,84,568.704863,1,API_CALL,8
90,0,612.858321,1,API_CALL,10
91,90,706.558335,1,API_CALL,10
116,0,735.753374,1,API_CALL,19
117,116,768.990106,1,API_CALL,19
118,0,769.007078,1,API_CALL,20
119,118,769.064166,1,API_CALL,20
122,0,769.240649,1,API_CALL,22
123,122,769.268175,1,API_CALL,22
130,0,769.286496,1,API_CALL,22
131,130,769.301359,1,API_CALL,22
138,0,769.311165,1,API_CALL,22
139,138,769.323885,1,API_CALL,22
158,0,769.653700,1,API_CALL,29
159,158,769.653965,1,API_CALL,29
160,0,769.657808,1,API_CALL,29
161,160,769.657869,1,API_CALL,29
162,0,769.660229,1,API_CALL,29
163,162,769.660285,1,API_CALL,29
173,0,770.016711,1,API_CALL,19
174,0,775.408528,1,API_CALL,29
175,174,775.408788,1,API_CALL,29
176,0,775.411584,1,API_CALL,29
177,176,775.411627,1,API_CALL,29
179,0,775.418067,1,API_CALL,29
180,179,775.418114,1,API_CALL,29
181,0,775.421807,1,API_CALL,29
182,181,775.421859,1,API_CALL,29
183,0,775.431676,1,API_CALL,34
184,0,775.431732,3,API_CALL,35
185,183,783.332276,1,API_CALL,34
186,184,783.332276,3,API_CALL,35
187,0,783.346729,1,API_CALL,34
188,0,783.346777,3,API_CALL,35
189,187,783.372456,1,API_CALL,34
190,188,783.372456,3,API_CALL,35
192,0,783.380923,1,API_CALL,29
193,192,783.381026,1,API_CALL,29
194,0,783.383106,1,API_CALL,29
195,194,783.383163,1,API_CALL,29
196,0,783.389346,1,API_CALL,29
197,196,783.389420,1,API_CALL,29
198,0,783.390570,1,API_CALL,29
199,198,783.390625,1,API_CALL,29
201,0,783.411357,1,API_CALL,40
202,201,783.467927,1,API_CALL,40
204,0,783.586361,1,API_CALL,29
205,204,783.586522,1,API_CALL,29
206,0,783.588697,1,API_CALL,29
207,206,783.588746,1,API_CALL,29
209,0,783.592984,1,API_CALL,29
210,209,783.593021,1,API_CALL,29
211,0,783.596679,1,API_CALL,29
212,211,783.596727,1,API_CALL,29
213,0,783.602544,1,API_CALL,34
214,0,783.602590,2,API_CALL,43
215,213,783.622543,1,API_CALL,34
216,214,783.622543,2,API_CALL,43
218,0,783.630539,1,API_CALL,29
219,218,783.630638,1,API_CALL,29
